STATE,YEAR,DISORDER,MALE_DEATHS,FEMALE_DEATHS,POPULATION,POPN_PERCENTAGE,,zscore male,zscore female,zscore popn
GUJARAT,2020,PSYCHOACTIVE SUBSTANCE USE,35,10,72736247,5.385514516,,0.209548522,1.52599E-08,0.694292056
HARYANA,2020,PSYCHOACTIVE SUBSTANCE USE,2,0,30351496,2.247276001,,-0.371137645,-3.41191E-07,-0.176149642
HIMACHAL PRADESH,2020,PSYCHOACTIVE SUBSTANCE USE,74,5,7663167,0.567393821,,0.895813992,-1.62966E-07,-0.642092397
JHARKHAND,2020,PSYCHOACTIVE SUBSTANCE USE,0,0,40929284,3.030473281,,-0.406330746,-3.41191E-07,0.041082913
KERALA,2020,PSYCHOACTIVE SUBSTANCE USE,2,0,35336581,2.61638011,,-0.371137645,-3.41191E-07,-0.07377259
LAKSHADWEEP,2020,PSYCHOACTIVE SUBSTANCE USE,0,0,64429,0.004770432,,-0.406330746,-3.41191E-07,-0.798145181
MADHYA PRADESH,2020,PSYCHOACTIVE SUBSTANCE USE,1,0,86044251,6.370861598,,-0.388734196,-3.41191E-07,0.96759416
MANIPUR,2020,PSYCHOACTIVE SUBSTANCE USE,2,0,27211756,2.014804351,,-0.371137645,-3.41191E-07,-0.240629451
MEGHALAYA,2020,PSYCHOACTIVE SUBSTANCE USE,1,1,2964007,0.219460082,,-0.388734196,-3.05546E-07,-0.738597501
MIZORAM,2020,PSYCHOACTIVE SUBSTANCE USE,5,0,1091014,0.080780518,,-0.318347994,-3.41191E-07,-0.777062543
NAGALAND,2020,PSYCHOACTIVE SUBSTANCE USE,0,0,1980602,0.146647116,,-0.406330746,-3.41191E-07,-0.758793366
ODISHA,2020,PSYCHOACTIVE SUBSTANCE USE,129,8,48426658,3.585591509,,1.86362427,-5.60304E-08,0.195054018
PUDUCHERRY,2020,PSYCHOACTIVE SUBSTANCE USE,2,0,1244464,0.092142215,,-0.371137645,-3.41191E-07,-0.77391119
PUNJAB,2020,PSYCHOACTIVE SUBSTANCE USE,9,3,31169272,2.307825517,,-0.247961792,-2.34256E-07,-0.159355245
RAJASTHAN,2020,PSYCHOACTIVE SUBSTANCE USE,32,4,80782495,5.981272301,,0.15675887,-1.98611E-07,0.859535206
SIKKIM,2020,PSYCHOACTIVE SUBSTANCE USE,5,1,658361,0.04874616,,-0.318347994,-3.05546E-07,-0.785947795
TAMIL NADU,2020,PSYCHOACTIVE SUBSTANCE USE,134,3,82722262,6.124895924,,1.951607023,-2.34256E-07,0.899371563
TELANGANA,2020,PSYCHOACTIVE SUBSTANCE USE,17,1,41008763,3.036358041,,-0.107189387,-3.05546E-07,0.042715147
TRIPURA,2020,PSYCHOACTIVE SUBSTANCE USE,3,0,3671032,0.271809406,,-0.353541095,-3.41191E-07,-0.724077561
UTTARAKHAND,2020,PSYCHOACTIVE SUBSTANCE USE,17,0,10116752,0.749061396,,-0.107189387,-3.41191E-07,-0.591703928
WEST BENGAL,2020,PSYCHOACTIVE SUBSTANCE USE,33,4,103815877,7.686702788,,0.174355421,-1.98611E-07,1.332564201
ANDHRA PRADESH,2018,SCHIZOPHRENIA,2,0,49577103,4.095353469,,-0.371137645,-3.41191E-07,0.218680329
ANDAMAN & NICOBAR ,2018,SCHIZOPHRENIA,0,2,380581,0.031438177,,-0.406330746,-2.69901E-07,-0.791652472
ARUNACHAL PRADESH,2018,SCHIZOPHRENIA,0,0,1383727,0.114303798,,-0.406330746,-3.41191E-07,-0.771051192
ASSAM,2018,SCHIZOPHRENIA,0,0,31205576,2.577759816,,-0.406330746,-3.41191E-07,-0.158609682
BIHAR,2018,SCHIZOPHRENIA,1,6,104099452,8.599212662,,-0.388734196,-1.27321E-07,1.338387887
CHANDIGARH,2018,SCHIZOPHRENIA,0,1,1055450,0.087186232,,-0.406330746,-3.05546E-07,-0.777792909
CHHATTISGARH,2018,SCHIZOPHRENIA,5,4,25545198,2.110180081,,-0.318347994,-1.98611E-07,-0.274855004
DELHI,2018,SCHIZOPHRENIA,6,1,16787941,1.386780353,,-0.300751443,-3.05546E-07,-0.454699913
DAMAN & DIU,2018,SCHIZOPHRENIA,0,1,585764,0.048387471,,-0.406330746,-3.05546E-07,-0.787438696
GOA,2018,SCHIZOPHRENIA,1,2,1458545,0.120484195,,-0.388734196,-2.69901E-07,-0.769514679
GUJARAT,2018,SCHIZOPHRENIA,4,5,60439692,4.992665713,,-0.335944544,-1.62966E-07,0.441761748
HARYANA,2018,SCHIZOPHRENIA,0,0,25351462,2.094176375,,-0.406330746,-3.41191E-07,-0.278833697
HIMACHAL PRADESH,2018,SCHIZOPHRENIA,0,1,6864602,0.567055554,,-0.406330746,-3.05546E-07,-0.658492264
JHARKHAND,2018,SCHIZOPHRENIA,0,0,32988134,2.725009346,,-0.406330746,-3.41191E-07,-0.122001874
KARNATAKA,2018,SCHIZOPHRENIA,24,9,61095297,5.046822451,,0.015986466,-2.03853E-08,0.455225693
KERALA,2018,SCHIZOPHRENIA,2,1,33406061,2.759532516,,-0.371137645,-3.05546E-07,-0.113419045
LAKSHADWEEP,2018,SCHIZOPHRENIA,0,0,64473,0.00532584,,-0.406330746,-3.41191E-07,-0.798144278
MADHYA PRADESH,2018,SCHIZOPHRENIA,0,0,72626809,5.999391577,,-0.406330746,-3.41191E-07,0.692044564
MAHARASTRA,2018,SCHIZOPHRENIA,15,34,112374333,9.282765362,,-0.142382488,8.70743E-07,1.508326398
MANIPUR,2018,SCHIZOPHRENIA,0,0,2570390,0.212328978,,-0.406330746,-3.41191E-07,-0.746681084
